azimuth_deg,intensity_cm2_s_deg
108.0,8.734299516908e-11
109.0,8.531400966184e-11
110.0,8.531400966184e-11
111.0,8.425120772947e-11
112.0,7.768115942029e-11
113.0,7.768115942029e-11
114.0,7.768115942029e-11
115.0,7.391304347826e-11
116.0,7.053140096618e-11
117.0,7.053140096618e-11
118.0,6.579710144928e-11
119.0,6.589371980676e-11
120.0,6.589371980676e-11
121.0,6.444444444444e-11
122.0,6.000000000000e-11
123.0,6.000000000000e-11
124.0,5.884057971014e-11
125.0,5.661835748792e-11
126.0,5.352657004831e-11
127.0,5.352657004831e-11
128.0,4.917874396135e-11
129.0,4.724637681159e-11
130.0,4.724637681159e-11
131.0,4.743961352657e-11
132.0,4.801932367150e-11
133.0,4.801932367150e-11
134.0,4.975845410628e-11
135.0,4.975845410628e-11
136.0,4.975845410628e-11
137.0,4.811594202899e-11
138.0,5.014492753623e-11
139.0,4.917874396135e-11
140.0,4.917874396135e-11
141.0,5.207729468599e-11
142.0,5.439613526570e-11
143.0,5.439613526570e-11
144.0,5.574879227053e-11
145.0,5.497584541063e-11
146.0,5.497584541063e-11
147.0,5.584541062802e-11
148.0,5.816425120773e-11
149.0,5.816425120773e-11
150.0,5.661835748792e-11
151.0,6.270531400966e-11
152.0,6.135265700483e-11
153.0,6.135265700483e-11
154.0,6.792270531401e-11
155.0,6.589371980676e-11
156.0,6.589371980676e-11
157.0,6.502415458937e-11
158.0,7.004830917874e-11
159.0,7.004830917874e-11
160.0,6.724637681159e-11
161.0,7.101449275362e-11
162.0,7.111111111111e-11
163.0,7.111111111111e-11
164.0,7.062801932367e-11
165.0,6.792270531401e-11
166.0,6.792270531401e-11
167.0,6.859903381643e-11
168.0,6.579710144928e-11
169.0,6.579710144928e-11
170.0,6.734299516908e-11
171.0,6.637681159420e-11
172.0,6.637681159420e-11
173.0,6.695652173913e-11
174.0,6.492753623188e-11
175.0,6.579710144928e-11
176.0,6.579710144928e-11
177.0,6.521739130435e-11
178.0,6.483091787440e-11
179.0,6.483091787440e-11
180.0,6.840579710145e-11
181.0,6.966183574879e-11
182.0,6.966183574879e-11
183.0,7.217391304348e-11
184.0,7.314009661836e-11
185.0,7.314009661836e-11
186.0,7.816425120773e-11
187.0,8.483091787440e-11
188.0,8.821256038647e-11
189.0,8.821256038647e-11
190.0,9.178743961353e-11
191.0,9.574879227053e-11
192.0,9.574879227053e-11
193.0,9.420289855072e-11
194.0,9.806763285024e-11
195.0,9.806763285024e-11
196.0,9.632850241546e-11
197.0,9.410628019324e-11
198.0,9.410628019324e-11
199.0,9.884057971014e-11
200.0,9.603864734300e-11
201.0,9.188405797101e-11
202.0,9.188405797101e-11
203.0,9.043478260870e-11
204.0,8.782608695652e-11
205.0,8.782608695652e-11
206.0,8.647342995169e-11
207.0,8.019323671498e-11
208.0,8.019323671498e-11
209.0,7.739130434783e-11
210.0,7.381642512077e-11
211.0,7.004830917874e-11
212.0,7.004830917874e-11
213.0,6.531400966184e-11
214.0,6.734299516908e-11
215.0,6.734299516908e-11
216.0,6.193236714976e-11
217.0,6.009661835749e-11
218.0,6.009661835749e-11
219.0,5.826086956522e-11
220.0,5.516908212560e-11
221.0,5.516908212560e-11
222.0,5.169082125604e-11
223.0,4.898550724638e-11
224.0,4.782608695652e-11
225.0,4.782608695652e-11
226.0,4.473429951691e-11
227.0,4.473429951691e-11
228.0,4.473429951691e-11
