fig7_lvd_azimuth_deg,rock_int_profile_raw_solid_weighted,fit_scale_to_cm2_s_deg,scaled_profile_cm2_s_deg,paper_fig7_curve_cm2_s_deg
217,,1.605955809938678e-13,,6.009661835749e-11
218,437.5987564426051,1.605955809938678e-13,7.027642653309422e-11,6.009661835749e-11
219,,1.605955809938678e-13,,5.826086956522e-11
220,429.39952317395847,1.605955809938678e-13,6.895966590261166e-11,5.51690821256e-11
221,,1.605955809938678e-13,,5.51690821256e-11
222,430.57750747003547,1.605955809938678e-13,6.91488449750418e-11,5.169082125604e-11
223,,1.605955809938678e-13,,4.898550724638e-11
224,359.972453935813,1.605955809938678e-13,5.780998538161021e-11,4.782608695652e-11
225,,1.605955809938678e-13,,4.782608695652e-11
226,353.2448891153269,1.605955809938678e-13,5.672956820059033e-11,4.473429951691e-11
227,,1.605955809938678e-13,,4.473429951691e-11
228,307.46753238207236,1.605955809938678e-13,4.9377926999649774e-11,4.473429951691e-11
229,,1.605955809938678e-13,,4.07729468599e-11
230,322.56829236258756,1.605955809938678e-13,5.180304232216956e-11,4.038647342995e-11
231,,1.605955809938678e-13,,4.038647342995e-11
232,301.515500830302,1.605955809938678e-13,4.842205703449939e-11,3.768115942029e-11
233,,1.605955809938678e-13,,3.468599033816e-11
234,256.9947885708619,1.605955809938678e-13,4.127222738293378e-11,3.468599033816e-11
235,,1.605955809938678e-13,,3.536231884058e-11
236,265.28856481533,1.605955809938678e-13,4.260417119754728e-11,3.294685990338e-11
237,,1.605955809938678e-13,,3.12077294686e-11
238,229.33974297666126,1.605955809938678e-13,3.683094926832123e-11,3.12077294686e-11
239,,1.605955809938678e-13,,2.830917874396e-11
240,220.9747903924426,1.605955809938678e-13,3.548757484807248e-11,2.782608695652e-11
241,,1.605955809938678e-13,,2.782608695652e-11
242,211.06949334471014,1.605955809938678e-13,3.389682791377504e-11,2.618357487923e-11
243,,1.605955809938678e-13,,2.608695652174e-11
244,180.9673382430312,1.605955809938678e-13,2.906255482605339e-11,2.608695652174e-11
245,,1.605955809938678e-13,,2.454106280193e-11
246,181.38216087023585,1.605955809938678e-13,2.912917350687872e-11,2.454106280193e-11
247,,1.605955809938678e-13,,2.251207729469e-11
248,153.99844902318458,1.605955809938678e-13,2.4731470393032862e-11,2.251207729469e-11
249,,1.605955809938678e-13,,2.009661835749e-11
250,165.3797780116297,1.605955809938678e-13,2.6559261534414555e-11,2.057971014493e-11
251,,1.605955809938678e-13,,2.057971014493e-11
252,147.64105101754498,1.605955809938678e-13,2.3710500366707915e-11,2.106280193237e-11
253,,1.605955809938678e-13,,1.874396135266e-11
254,130.96499396329384,1.605955809938678e-13,2.1032399295393563e-11,1.874396135266e-11
255,,1.605955809938678e-13,,1.835748792271e-11
256,140.27055936626067,1.605955809938678e-13,2.2526831977759458e-11,1.777777777778e-11
257,,1.605955809938678e-13,,1.777777777778e-11
258,122.06702445428083,1.605955809938678e-13,1.96034247124279e-11,1.864734299517e-11
259,,1.605955809938678e-13,,1.806763285024e-11
260,121.56972409421121,1.605955809938678e-13,1.952356047217406e-11,1.874396135266e-11
261,,1.605955809938678e-13,,1.874396135266e-11
262,107.27356295678489,1.605955809938678e-13,1.7227660168327123e-11,1.594202898551e-11
263,,1.605955809938678e-13,,1.700483091787e-11
264,105.18222211649686,1.605955809938678e-13,1.6891800071024866e-11,1.700483091787e-11
265,,1.605955809938678e-13,,1.594202898551e-11
266,101.53265550488489,1.605955809938678e-13,1.630569580065722e-11,1.719806763285e-11
267,,1.605955809938678e-13,,1.719806763285e-11
268,96.45751435921888,1.605955809938678e-13,1.5490650559743104e-11,1.652173913043e-11
269,,1.605955809938678e-13,,1.893719806763e-11
270,94.98077915713142,1.605955809938678e-13,1.5253493411989772e-11,1.893719806763e-11
271,,1.605955809938678e-13,,1.594202898551e-11
272,91.77996181437845,1.605955809938678e-13,1.473945629117511e-11,1.729468599034e-11
273,,1.605955809938678e-13,,1.826086956522e-11
274,102.43515699081942,1.605955809938678e-13,1.6450633551138706e-11,1.826086956522e-11
275,,1.605955809938678e-13,,1.903381642512e-11
276,93.87023767144655,1.605955809938678e-13,1.5075145356878416e-11,1.913043478261e-11
277,,1.605955809938678e-13,,1.913043478261e-11
278,104.70346612684679,1.605955809938678e-13,1.6814913974712718e-11,1.971014492754e-11
279,,1.605955809938678e-13,,2.144927536232e-11
280,106.21548476540131,1.605955809938678e-13,1.705773748644494e-11,2.144927536232e-11
281,,1.605955809938678e-13,,2.106280193237e-11
282,102.41299126833154,1.605955809938678e-13,1.6447073834057613e-11,2.164251207729e-11
283,,1.605955809938678e-13,,2.260869565217e-11
284,127.97443715202441,1.605955809938678e-13,2.0552129086792582e-11,2.260869565217e-11
285,,1.605955809938678e-13,,2.357487922705e-11
286,125.4191407885018,1.605955809938678e-13,2.014175978268115e-11,2.434782608696e-11
287,,1.605955809938678e-13,,2.434782608696e-11
288,136.93809317666685,1.605955809938678e-13,2.199165263389922e-11,2.512077294686e-11
289,,1.605955809938678e-13,,2.589371980676e-11
290,132.40773210359126,1.605955809938678e-13,2.126409666525664e-11,2.589371980676e-11
291,,1.605955809938678e-13,,2.714975845411e-11
292,144.0269154627579,1.605955809938678e-13,2.3130086167496287e-11,2.666666666667e-11
293,,1.605955809938678e-13,,2.666666666667e-11
294,148.0964526813052,1.605955809938678e-13,2.378363586148506e-11,2.724637681159e-11
295,,1.605955809938678e-13,,2.811594202899e-11
296,153.39769585520793,1.605955809938678e-13,2.4634992088987744e-11,2.850241545894e-11
297,,1.605955809938678e-13,,2.850241545894e-11
