bin_index,azimuth_lo_deg,azimuth_hi_deg,azimuth_center_deg,zenith_lo_deg,zenith_hi_deg,zenith_center_deg,slant_rock_m,intensity_raw,solid_angle_sr,fig7_lvd_azimuth_center_deg
197,252.8,260.4,256.6,28.0,32.0,30.0,3722.0,514.0,0.004629244548081337,146.39999999999998
198,260.4,268.1,264.25,28.0,32.0,30.0,3701.0,412.0,0.00469015566055614,138.75
199,268.1,275.7,271.9,28.0,32.0,30.0,3735.0,478.0,0.004629244548081337,131.10000000000002
200,275.7,283.4,279.54999999999995,28.0,32.0,30.0,3600.0,539.0,0.004690155660556104,123.45000000000005
201,283.4,291.1,287.25,28.0,32.0,30.0,3462.0,622.0,0.00469015566055614,115.75
202,291.1,298.7,294.9,28.0,32.0,30.0,3366.0,681.0,0.004629244548081337,108.10000000000002
203,298.7,306.4,302.54999999999995,28.0,32.0,30.0,3271.0,738.0,0.004690155660556104,100.45000000000005
204,306.4,314.0,310.2,28.0,32.0,30.0,3186.0,853.0,0.004629244548081371,92.80000000000001
205,314.0,321.7,317.85,28.0,32.0,30.0,3144.0,933.0,0.004690155660556104,85.14999999999998
206,321.7,329.4,325.54999999999995,28.0,32.0,30.0,3127.0,1005.0,0.004690155660556104,77.45000000000005
207,329.4,337.0,333.2,28.0,32.0,30.0,3108.0,1059.0,0.004629244548081371,69.80000000000001
208,337.0,344.7,340.85,28.0,32.0,30.0,3083.0,1084.0,0.004690155660556104,62.14999999999998
209,344.7,352.3,348.5,28.0,32.0,30.0,3083.0,1160.0,0.004629244548081371,54.5
210,352.3,360.0,356.15,28.0,32.0,30.0,3087.0,1128.0,0.004690155660556104,46.85000000000002
211,0.0,6.9,3.45,32.0,36.0,34.0,3194.0,1041.0,0.0047004265336979874,39.55
212,6.9,13.8,10.350000000000001,32.0,36.0,34.0,3218.0,1030.0,0.0047004265336979874,32.65
213,13.8,20.8,17.3,32.0,36.0,34.0,3249.0,1047.0,0.00476854865737477,25.7
214,20.8,27.7,24.25,32.0,36.0,34.0,3275.0,997.0,0.004700426533697987,18.75
215,27.7,34.6,31.15,32.0,36.0,34.0,3315.0,1004.0,0.004700426533697989,11.850000000000001
216,34.6,41.5,38.05,32.0,36.0,34.0,3347.0,969.0,0.004700426533697987,4.950000000000003
217,41.5,48.5,45.0,32.0,36.0,34.0,3387.0,890.0,0.00476854865737477,358.0
218,48.5,55.4,51.95,32.0,36.0,34.0,3481.0,726.0,0.004700426533697987,351.05
219,55.4,62.3,58.849999999999994,32.0,36.0,34.0,3584.0,579.0,0.004700426533697987,344.15
220,62.3,69.2,65.75,32.0,36.0,34.0,3618.0,562.0,0.004700426533697991,337.25
221,69.2,76.2,72.7,32.0,36.0,34.0,3653.0,533.0,0.00476854865737477,330.3
222,76.2,83.1,79.65,32.0,36.0,34.0,3763.0,408.0,0.004700426533697981,323.35
223,83.1,90.0,86.55,32.0,36.0,34.0,3909.0,340.0,0.004700426533697991,316.45
224,90.0,96.9,93.45,32.0,36.0,34.0,4019.0,322.0,0.004700426533697991,309.55
225,96.9,103.8,100.35,32.0,36.0,34.0,4147.0,272.0,0.004700426533697981,302.65
226,103.8,110.8,107.3,32.0,36.0,34.0,4276.0,234.0,0.00476854865737477,295.7
227,110.8,117.7,114.25,32.0,36.0,34.0,4383.0,213.0,0.004700426533697991,288.75
